time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2024-04-13,nation,ca,29332.0,1440,29480.0,531,1775,25526.0,457,9502.0,9547.0,133,9417.0,437,7830.0,666,7843.0,428,566,2305,5.46,4.64,4.91,1.79,5.96,7.82,1.39,8.51,1.8,6.02
2024-04-13,province,bc,2987.0,276,3106.0,63,71,3023.0,38,843.0,843.0,22,843.0,43,809.0,86,809.0,42,58,134,5.19,5.1,9.24,1.26,6.88,4.32,2.61,10.63,2.03,2.29
2024-04-13,province,on,6878.0,356,6251.0,106,217,6232.0,40,4485.0,4485.0,50,4489.0,250,4462.0,312,2974.0,185,229,323,6.22,5.57,5.18,0.64,5.11,5.17,1.11,6.99,1.7,3.47
2024-04-13,province,qc,8694.0,199,9725.0,191,776,6642.0,171,1621.0,1637.0,35,1615.0,93,,0,1508.0,84,70,967,5.57,5.76,2.29,2.57,4.32,9.94,2.14,,1.96,7.98
2024-04-20,nation,ca,27218.0,1309,27265.0,368,1355,23872.0,401,9022.0,9069.0,139,8934.0,462,7409.0,704,7391.0,364,494,1723,4.92,5.17,4.81,1.68,5.48,6.32,1.53,9.5,1.35,4.97
2024-04-20,province,bc,3017.0,272,3306.0,68,82,3224.0,54,880.0,880.0,26,880.0,37,864.0,141,864.0,30,61,150,3.47,4.2,9.02,1.67,6.93,4.54,2.95,16.32,2.06,2.48
2024-04-20,province,qc,7913.0,189,8648.0,92,603,6130.0,154,1604.0,1623.0,37,1605.0,122,,0,1452.0,64,50,694,4.41,7.6,2.39,2.51,3.12,8.03,2.28,,1.06,6.97
2024-05-04,province,qc,7595.0,265,8454.0,61,497,5969.0,159,1558.0,1583.0,41,1554.0,83,,0,1466.0,42,87,558,2.86,5.34,3.49,2.66,5.58,6.6,2.59,,0.72,5.88
2024-04-27,nation,ca,26661.0,1474,26772.0,308,1261,23420.0,344,8865.0,8904.0,120,8775.0,370,7263.0,837,7302.0,349,588,1569,4.78,4.22,5.53,1.47,6.63,5.86,1.35,11.52,1.15,4.71
2024-04-27,province,bc,2961.0,276,3146.0,93,82,3029.0,31,798.0,798.0,14,798.0,38,774.0,134,774.0,19,73,175,2.45,4.76,9.32,1.02,9.15,5.57,1.75,17.31,2.96,2.61
2024-04-27,province,on,6117.0,334,5585.0,58,105,5585.0,36,4004.0,4004.0,30,4004.0,175,4006.0,396,2603.0,120,229,163,4.61,4.37,5.46,0.64,5.72,2.92,0.75,9.89,1.04,1.88
2024-04-27,province,qc,7721.0,274,8474.0,66,551,5837.0,152,1588.0,1602.0,43,1588.0,98,,0,1450.0,70,81,617,4.83,6.17,3.55,2.6,5.1,7.28,2.68,,0.78,6.5
2024-05-04,nation,ca,27314.0,1770,27146.0,309,1135,24050.0,305,9298.0,9341.0,136,9155.0,361,7717.0,802,7706.0,341,609,1444,4.43,3.94,6.48,1.27,6.55,5.32,1.46,10.39,1.14,4.18
2024-05-04,province,bc,3198.0,339,3399.0,83,91,3305.0,27,908.0,908.0,23,908.0,39,884.0,152,884.0,27,62,174,3.05,4.3,10.6,0.82,6.83,5.12,2.53,17.19,2.44,2.68
2024-05-04,province,on,6486.0,516,5723.0,63,101,5718.0,23,4219.0,4219.0,38,4219.0,194,4220.0,341,2747.0,145,250,164,5.28,4.6,7.96,0.4,5.93,2.86,0.9,8.08,1.1,1.76
2024-01-27,nation,ca,37089.0,3779,35174.0,3904,380,30616.0,1791,11007.0,11062.0,173,11026.0,233,9212.0,403,9111.0,473,128,4284,5.19,2.11,10.19,5.85,1.16,12.18,1.56,4.37,11.1,1.08
2024-01-20,province,on,9942.0,1280,8812.0,762,40,8808.0,263,6099.0,6091.0,39,6103.0,75,6103.0,193,4360.0,165,72,802,3.78,1.23,12.87,2.99,1.18,9.1,0.64,3.16,8.65,0.45
2023-09-02,nation,ca,25656.0,3694,14543.0,100,9,13610.0,79,6234.0,6238.0,101,6260.0,21,5345.0,668,5054.0,14,124,109,0.28,0.34,14.4,0.58,1.99,0.75,1.62,12.5,0.69,0.06
