epiweek,time_value,issue,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
202333,2023-08-19,2023-08-24,lab,montréal-laval,2122.0,301.0,954.0,8.0,1.0,858.0,7.0,539.0,539.0,6.0,539.0,4.0,,,539.0,1.0,8.0,9.0,0.1855287569573284,0.7421150278293136,14.18473138548539,0.8158508158508158,1.4842300556586272,0.9433962264150944,1.1131725417439702,,0.8385744234800839,0.10482180293501049
202333,2023-08-19,2023-08-24,lab,ouest du québec,932.0,137.0,280.0,2.0,0.0,280.0,1.0,25.0,25.0,3.0,25.0,0.0,,,25.0,0.0,2.0,2.0,0.0,0.0,14.699570815450643,0.35714285714285715,8.0,0.7142857142857143,12.0,,0.7142857142857143,0.0
202333,2023-08-19,2023-08-24,lab,montérégie,977.0,148.0,556.0,1.0,1.0,554.0,3.0,2.0,2.0,0.0,2.0,0.0,,,2.0,0.0,0.0,2.0,0.0,0.0,15.148413510747186,0.5415162454873645,0.0,0.3597122302158274,0.0,,0.1798561151079137,0.1798561151079137
202333,2023-08-19,2023-08-24,region,qc,7861.0,1089.0,3221.0,13.0,2.0,2367.0,17.0,799.0,814.0,16.0,799.0,5.0,,,799.0,2.0,16.0,15.0,0.2503128911138924,0.6257822277847309,13.853199338506549,0.7182087029995775,2.002503128911139,0.4656938838869916,1.9656019656019657,,0.40360136603539276,0.06209251785159888
202333,2023-08-19,2023-08-24,lab,phol - ottawa,217.0,97.0,141.0,1.0,0.0,141.0,0.0,88.0,88.0,0.0,88.0,0.0,88.0,12.0,88.0,1.0,1.0,1.0,1.1363636363636365,0.0,44.70046082949309,0.0,1.1363636363636365,0.7092198581560284,0.0,13.636363636363635,0.7092198581560284,0.0
202333,2023-08-19,2023-08-24,lab,eorla,1179.0,114.0,262.0,1.0,1.0,262.0,5.0,20.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,1.0,2.0,0.0,0.0,9.669211195928753,1.9083969465648856,5.0,0.7633587786259541,0.0,0.0,0.38167938931297707,0.38167938931297707
202333,2023-08-19,2023-08-24,lab,phol - kingston,180.0,36.0,64.0,0.0,0.0,64.0,0.0,50.0,50.0,0.0,50.0,0.0,50.0,4.0,50.0,0.0,7.0,0.0,0.0,0.0,20.0,0.0,14.000000000000002,0.0,0.0,8.0,0.0,0.0
202333,2023-08-19,2023-08-24,lab,uhn / mount sinai hospital,896.0,34.0,508.0,1.0,1.0,508.0,0.0,31.0,31.0,2.0,31.0,1.0,31.0,3.0,31.0,3.0,2.0,2.0,9.67741935483871,3.225806451612903,3.7946428571428568,0.0,6.451612903225806,0.39370078740157477,6.451612903225806,9.67741935483871,0.19685039370078738,0.19685039370078738
202333,2023-08-19,2023-08-24,lab,phol - toronto,364.0,102.0,760.0,6.0,0.0,760.0,2.0,699.0,699.0,9.0,699.0,1.0,699.0,131.0,699.0,8.0,44.0,6.0,1.144492131616595,0.14306151645207438,28.021978021978022,0.2631578947368421,6.294706723891273,0.7894736842105263,1.2875536480686696,18.741058655221746,0.7894736842105263,0.0
202333,2023-08-19,2023-08-24,lab,sick kids hospital - toronto,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
202333,2023-08-19,2023-08-24,lab,shared hospital laboratory,722.0,36.0,722.0,2.0,0.0,722.0,5.0,722.0,722.0,10.0,729.0,0.0,729.0,41.0,729.0,1.0,9.0,2.0,0.1371742112482853,0.0,4.986149584487535,0.6925207756232686,1.2465373961218837,0.2770083102493075,1.3850415512465373,5.6241426611796985,0.2770083102493075,0.0
202333,2023-08-19,2023-08-24,lab,phol - sault ste marie,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202333,2023-08-19,2023-08-24,lab,phol - timmins,58.0,1.0,6.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.7241379310344827,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0
202333,2023-08-19,2023-08-24,lab,st joseph's - london,501.0,29.0,31.0,0.0,0.0,31.0,0.0,31.0,31.0,0.0,31.0,0.0,31.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,5.788423153692615,0.0,0.0,0.0,0.0,9.67741935483871,0.0,0.0
202333,2023-08-19,2023-08-24,lab,phol - london,164.0,20.0,136.0,0.0,1.0,136.0,0.0,123.0,123.0,0.0,123.0,0.0,123.0,25.0,123.0,0.0,4.0,1.0,0.0,0.0,12.195121951219512,0.0,3.2520325203252036,0.7352941176470588,0.0,20.32520325203252,0.0,0.7352941176470588
202333,2023-08-19,2023-08-24,lab,phol - orillia,26.0,1.0,26.0,0.0,0.0,26.0,0.0,24.0,24.0,0.0,24.0,0.0,24.0,3.0,24.0,0.0,4.0,0.0,0.0,0.0,3.8461538461538463,0.0,16.666666666666664,0.0,0.0,12.5,0.0,0.0
202333,2023-08-19,2023-08-24,lab,phol - thunder bay,41.0,4.0,20.0,0.0,0.0,20.0,0.0,16.0,16.0,0.0,16.0,0.0,16.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,9.75609756097561,0.0,0.0,0.0,0.0,50.0,0.0,0.0
202333,2023-08-19,2023-08-24,lab,phol - sudbury,15.0,3.0,12.0,0.0,0.0,12.0,0.0,12.0,12.0,0.0,12.0,0.0,12.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,41.66666666666667,0.0,0.0
202333,2023-08-19,2023-08-24,lab,phol - hamilton,192.0,54.0,138.0,2.0,0.0,138.0,0.0,108.0,108.0,1.0,108.0,2.0,108.0,17.0,108.0,0.0,9.0,2.0,0.0,1.8518518518518516,28.125,0.0,8.333333333333332,1.4492753623188406,0.9259259259259258,15.74074074074074,1.4492753623188406,0.0
202333,2023-08-19,2023-08-24,lab,phol - peterborough,51.0,23.0,78.0,0.0,0.0,78.0,2.0,62.0,62.0,2.0,62.0,0.0,62.0,13.0,62.0,0.0,4.0,0.0,0.0,0.0,45.09803921568628,2.564102564102564,6.451612903225806,0.0,3.225806451612903,20.967741935483872,0.0,0.0
202333,2023-08-19,2023-08-24,lab,st joseph's - hamilton,1109.0,82.0,995.0,2.0,3.0,995.0,5.0,995.0,995.0,15.0,995.0,8.0,995.0,59.0,0.0,0.0,2.0,5.0,0.0,0.8040201005025126,7.39404869251578,0.5025125628140703,0.20100502512562815,0.5025125628140703,1.507537688442211,5.92964824120603,0.20100502512562815,0.3015075376884422
202333,2023-08-19,2023-08-24,lab,sault area hospital,41.0,1.0,41.0,0.0,0.0,41.0,0.0,41.0,41.0,1.0,41.0,0.0,41.0,4.0,48.0,1.0,0.0,0.0,2.083333333333333,0.0,2.4390243902439024,0.0,0.0,0.0,2.4390243902439024,9.75609756097561,0.0,0.0
202333,2023-08-19,2023-08-24,region,on,5757.0,637.0,3941.0,15.0,6.0,3941.0,19.0,3029.0,3029.0,40.0,3036.0,12.0,3036.0,330.0,2048.0,14.0,87.0,21.0,0.68359375,0.3952569169960474,11.064790689595275,0.482111139304745,2.872235061076263,0.5328596802841918,1.3205678441729944,10.869565217391305,0.38061405734585135,0.1522456229383405
202333,2023-08-19,2023-08-24,lab,mb,886.0,94.0,772.0,1.0,0.0,772.0,4.0,56.0,56.0,4.0,75.0,0.0,56.0,20.0,75.0,0.0,2.0,1.0,0.0,0.0,10.609480812641085,0.5181347150259068,3.571428571428571,0.1295336787564767,7.142857142857142,35.714285714285715,0.1295336787564767,0.0
202333,2023-08-19,2023-08-24,lab,sk,931.0,54.0,397.0,3.0,1.0,391.0,1.0,245.0,245.0,13.0,245.0,0.0,245.0,39.0,245.0,10.0,6.0,4.0,4.081632653061225,0.0,5.800214822771213,0.2557544757033248,2.4489795918367347,1.0075566750629723,5.3061224489795915,15.918367346938775,0.7556675062972292,0.2518891687657431
202333,2023-08-19,2023-08-24,lab,ab,2674.0,212.0,1955.0,2.0,1.0,1864.0,1.0,618.0,618.0,15.0,618.0,0.0,612.0,82.0,618.0,4.0,8.0,3.0,0.6472491909385114,0.0,7.928197456993269,0.0536480686695279,1.2944983818770228,0.1534526854219949,2.4271844660194173,13.398692810457517,0.10230179028132991,0.051150895140664954
202333,2023-08-19,2023-08-24,region,prairies,4491.0,360.0,3124.0,6.0,2.0,3027.0,6.0,919.0,919.0,32.0,938.0,0.0,913.0,141.0,938.0,14.0,16.0,8.0,1.4925373134328357,0.0,8.016032064128256,0.19821605550049554,1.7410228509249184,0.2560819462227913,3.4820457018498367,15.443592552026287,0.19206145966709345,0.06402048655569782
202333,2023-08-19,2023-08-24,region,bc,1933.0,235.0,1394.0,26.0,1.0,1394.0,1.0,340.0,340.0,18.0,340.0,2.0,313.0,35.0,313.0,2.0,24.0,27.0,0.6389776357827476,0.5882352941176471,12.157268494568028,0.07173601147776185,7.0588235294117645,1.9368723098995695,5.294117647058823,11.182108626198083,1.8651362984218076,0.07173601147776185
202333,2023-08-19,2023-08-24,lab,yk,47.0,5.0,19.0,0.0,0.0,19.0,0.0,,,,,,,,,,0.0,0.0,,,10.638297872340425,0.0,,0.0,,,0.0,0.0
202333,2023-08-19,2023-08-24,lab,nt,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,
202333,2023-08-19,2023-08-24,lab,nu,33.0,1.0,31.0,0.0,0.0,31.0,3.0,,,,,,,,,,0.0,0.0,,,3.0303030303030303,9.67741935483871,,0.0,,,0.0,0.0
202333,2023-08-19,2023-08-24,region,territories,80.0,6.0,50.0,0.0,0.0,50.0,3.0,,,,,,0.0,0.0,,,0.0,0.0,,,7.5,6.0,,0.0,,0.0,0.0,0.0
202333,2023-08-19,2023-08-24,nation,ca,21838.0,2529.0,12631.0,72.0,11.0,11668.0,52.0,5373.0,5388.0,113.0,5399.0,19.0,4548.0,580.0,4384.0,34.0,151.0,83.0,0.7755474452554745,0.3519170216706798,11.580730836157157,0.4456633527596846,2.8103480364786897,0.6571134510331723,2.097253155159614,12.752858399296393,0.5700261261974507,0.08708732483572164
202332,2023-08-12,2023-08-17,lab,nl,317.0,35.0,226.0,0.0,0.0,226.0,4.0,226.0,226.0,6.0,226.0,0.0,226.0,44.0,226.0,2.0,5.0,0.0,0.8849557522123894,0.0,11.041009463722396,1.7699115044247788,2.2123893805309733,0.0,2.6548672566371683,19.469026548672566,0.0,0.0
