time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2017-11-04,nation,ca,1.69,4.7
2017-10-14,province,qc,1.49,2.63
2017-11-04,province,bc,1.75,3.8
2017-11-04,province,on,1.54,1.18
2017-11-18,province,bc,2.36,5.67
2017-11-18,nation,ca,2.41,7.72
2017-10-14,province,bc,0.0,5.88
2017-11-11,region,territories,0.0,0.0
2017-11-11,region,prairies,0.16,13.74
2017-11-11,region,atlantic,0.69,3.46
2017-11-11,province,qc,4.45,1.37
2017-11-11,province,on,2.88,2.17
2017-11-11,province,bc,1.39,3.96
2017-11-11,nation,ca,2.14,5.73
2017-10-14,province,on,1.16,1.37
2017-11-04,region,territories,0.0,2.56
2017-11-04,region,prairies,0.24,8.34
2017-11-04,region,atlantic,0.0,12.98
2017-11-04,province,qc,4.32,2.04
2017-10-07,province,on,0.81,0.9
2017-09-02,nation,ca,0.45,1.88
2018-02-24,region,atlantic,12.64,32.07
2018-02-03,province,on,7.27,28.6
2018-02-10,province,bc,4.85,33.82
2018-02-10,nation,ca,6.52,32.39
2018-02-03,region,territories,7.79,32.47
2018-02-03,region,prairies,3.37,21.09
2018-02-03,region,atlantic,9.69,31.54
2018-02-03,province,qc,8.63,34.74
2017-09-30,province,on,0.14,2.15
2018-02-03,province,bc,4.42,32.53
2018-01-27,nation,ca,7.02,29.45
2018-02-03,nation,ca,7.17,30.62
2018-01-27,region,territories,7.81,32.81
2018-01-27,region,prairies,2.37,24.42
2018-01-27,region,atlantic,7.43,25.13
2017-09-30,province,qc,1.17,0.68
2018-01-27,province,qc,9.92,32.53
2018-01-27,province,on,6.08,28.18
2018-02-10,province,on,6.02,30.6
2017-09-30,province,bc,0.41,13.12
2018-02-10,province,qc,7.52,37.44
2018-02-10,region,atlantic,9.2,26.8
2018-02-24,province,qc,6.64,35.1
2018-02-24,province,on,5.2,28.24
2017-09-23,region,territories,0.0,0.0
2018-02-24,province,bc,6.88,27.01
2018-02-24,nation,ca,6.64,30.85
2018-02-17,region,territories,5.77,26.42
2018-02-17,region,prairies,5.6,20.9
2018-02-17,region,atlantic,12.16,30.16
2018-02-17,province,qc,6.66,38.88
2018-02-17,province,on,6.21,29.67
2017-09-30,nation,ca,0.49,2.94
2018-02-17,province,bc,8.33,24.31
2018-02-17,nation,ca,6.95,32.5
2018-02-10,region,territories,6.85,30.14
2018-02-10,region,prairies,3.64,21.88
2018-01-27,province,bc,4.15,31.0
2018-01-20,region,territories,0.0,45.88
2017-12-23,province,on,7.96,13.2
2017-12-30,province,qc,11.43,24.59
2018-01-06,province,on,9.41,24.14
2018-01-06,province,bc,4.12,38.43
2018-01-06,nation,ca,7.12,29.29
2017-10-07,nation,ca,0.58,2.33
2017-12-30,region,territories,2.44,33.33
2017-12-30,region,prairies,0.92,38.3
2017-12-30,region,atlantic,3.36,24.03
2017-12-30,province,on,8.46,20.73
2018-01-20,region,prairies,2.63,25.16
2017-12-30,province,bc,4.43,32.75
2017-10-07,province,bc,0.0,5.0
2017-12-30,nation,ca,6.83,28.33
2017-12-23,region,territories,3.13,45.91
2017-12-23,region,prairies,0.96,36.16
2017-12-23,region,atlantic,3.45,19.91
2017-12-23,province,qc,12.66,17.35
2018-01-06,province,qc,10.72,28.41
2018-01-06,region,atlantic,7.32,24.93
2018-01-06,region,prairies,1.45,32.24
2018-01-06,region,territories,2.56,30.76
2017-09-30,region,atlantic,0.68,2.04
2018-01-20,region,atlantic,7.1,27.25
2018-01-20,province,qc,9.49,30.4
2018-01-20,province,on,6.7,27.07
2018-01-20,province,bc,4.53,46.64
2018-01-20,nation,ca,6.72,30.08
2018-01-13,region,territories,0.0,25.0
2017-09-30,region,prairies,0.32,2.56
2018-01-13,region,prairies,2.7,29.61
2018-01-13,region,atlantic,4.8,34.52
2018-01-13,province,qc,9.01,28.42
2018-01-13,province,on,7.81,25.12
2018-01-13,province,bc,3.62,37.97
2018-01-13,nation,ca,6.6,29.11
2017-09-30,region,territories,0.0,0.0
2017-09-02,region,territories,5.0,5.0
2017-09-23,province,on,1.07,0.93
2017-09-02,province,bc,0.0,10.57
2018-08-25,province,sk,0.0,0.0
2018-08-18,province,on,0.24,0.24
2018-07-28,nation,ca,0.47,0.6
2018-08-25,region,atlantic,4.62,0.0
2018-07-28,province,bc,0.0,0.0
2018-08-25,region,prairies,0.21,0.2
2018-07-28,province,on,0.76,0.95
2018-07-14,region,atlantic,1.69,0.85
2017-09-02,province,qc,0.91,0.0
2018-07-28,province,qc,0.71,1.07
2018-08-25,region,territories,0.0,0.0
2018-07-28,region,atlantic,0.0,0.0
2018-08-18,province,bc,0.63,0.63
2018-07-28,region,prairies,0.21,0.2
2018-07-28,region,territories,0.0,0.0
2018-08-18,nation,ca,0.68,0.56
2018-07-14,province,qc,0.73,0.51
2018-08-25,territory,nt,0.0,0.0
2018-08-04,nation,ca,0.58,0.46
2018-08-11,region,territories,0.0,0.0
2018-08-25,territory,nu,0.0,0.0
2018-08-04,province,bc,0.0,2.59
2018-08-11,region,prairies,0.46,0.67
2018-07-14,region,prairies,0.0,0.53
2018-07-21,region,territories,0.0,0.0
2018-08-11,region,atlantic,2.5,0.0
2018-08-18,province,qc,1.83,0.98
2018-08-25,province,mb,0.93,0.0
2018-07-21,nation,ca,0.46,0.47
2018-08-25,province,nl,0.0,0.0
2018-08-25,province,bc,0.57,0.0
2018-08-25,province,ab,0.0,0.35
2018-08-25,province,ns,0.0,0.0
2018-07-21,province,bc,0.58,0.58
2018-08-25,nation,ca,0.91,0.42
2018-07-14,region,territories,0.0,0.0
2018-08-25,province,on,1.15,1.13
2018-07-21,province,on,0.0,0.2
2017-09-02,region,prairies,0.19,2.9
2018-08-18,region,territories,0.0,0.0
2018-07-21,province,qc,0.67,0.0
2018-08-18,region,prairies,0.0,0.38
2018-08-25,province,pe,0.0,0.0
2017-09-02,region,atlantic,0.0,1.02
2018-07-21,region,atlantic,2.15,1.08
2018-08-25,province,qc,1.03,0.2
2018-08-18,region,atlantic,1.37,1.35
2018-07-21,region,prairies,0.37,0.89
2018-08-04,province,on,0.43,0.0
2018-08-25,province,nb,8.11,0.0
2018-07-14,province,on,0.58,0.39
2017-09-02,province,on,0.36,0.51
2018-08-11,province,qc,0.82,0.0
2018-08-04,province,qc,0.92,0.0
2018-08-04,region,territories,0.0,0.0
2018-08-11,province,bc,0.62,1.23
2018-08-11,nation,ca,0.59,0.59
2018-08-04,region,atlantic,1.68,1.72
2018-08-04,region,prairies,0.37,0.35
2018-08-11,province,on,0.22,0.87
2018-08-18,province,sk,0.0,0.0
2018-08-18,territory,yk,0.0,0.0
2018-08-18,territory,nu,0.0,0.0
2018-08-18,territory,nt,0.0,0.0
2018-08-18,province,ab,0.0,0.77
2018-08-18,province,mb,0.0,0.0
2018-08-18,province,nb,0.0,0.0
2018-08-18,province,ns,10.0,0.0
2018-08-18,province,nl,0.0,0.0
2018-08-18,province,pe,0.0,0.0
2018-08-04,province,ab,0.0,0.32
2018-08-04,province,sk,1.18,0.59
2018-08-04,territory,nt,0.0,0.0
2018-08-04,territory,yk,0.0,0.0
2018-08-04,territory,nu,0.0,0.0
2018-08-04,province,nb,1.39,0.0
2018-08-04,province,ns,0.0,22.22
2018-08-04,province,nl,2.7,0.0
2018-08-04,province,mb,0.0,0.0
2018-08-04,province,pe,0.0,0.0
2018-07-28,province,ns,0.0,0.0
2018-07-28,province,nb,0.0,0.0
2018-07-28,province,nl,0.0,0.0
2018-07-28,province,pe,0.0,0.0
2018-07-28,province,sk,0.0,0.76
2018-07-28,province,ab,0.0,0.0
2018-07-28,territory,yk,0.0,0.0
2018-07-28,territory,nt,0.0,0.0
2018-07-28,province,mb,1.02,0.0
2018-07-28,territory,nu,0.0,0.0
2018-07-21,province,ns,0.0,6.67
2018-07-21,province,sk,1.34,1.34
2018-07-21,province,pe,0.0,0.0
2018-07-21,territory,nt,0.0,0.0
2018-07-21,territory,nu,0.0,0.0
2018-07-21,territory,yk,0.0,0.0
2018-07-21,province,nl,3.85,0.0
2018-07-21,province,ab,0.0,1.02
2018-07-21,province,mb,0.0,0.0
2018-07-21,province,nb,0.0,0.0
2018-07-14,territory,nt,0.0,0.0
2018-07-14,territory,nu,0.0,0.0
2018-07-14,territory,yk,0.0,0.0
2018-07-14,province,pe,0.0,0.0
2018-07-14,province,nb,0.0,0.0
2018-07-14,province,mb,0.0,0.0
2018-07-14,province,ab,0.0,1.12
2018-07-14,province,nl,8.33,0.0
2018-07-14,province,ns,0.0,8.33
2018-07-14,province,sk,0.0,0.0
2018-07-07,province,sk,0.0,0.0
2018-07-07,province,pe,0.0,0.0
2018-07-07,province,ab,0.0,0.36
2018-07-07,territory,nu,0.0,0.0
2018-07-07,territory,nt,0.0,0.0
2018-07-07,territory,yk,0.0,0.0
2018-07-07,province,nl,6.06,0.0
2018-07-07,province,ns,0.0,0.0
2018-07-07,province,mb,1.37,0.0
2018-07-07,province,nb,2.67,0.0
2018-06-30,province,ns,0.0,0.0
2018-06-30,province,nb,2.25,2.25
2018-06-30,province,pe,0.0,0.0
2018-06-30,province,sk,2.79,0.0
2018-06-30,province,nl,7.14,0.0
2018-06-30,province,ab,0.0,2.93
2018-06-30,province,mb,2.44,1.22
2018-06-30,territory,nt,0.0,0.0
2018-06-30,territory,nu,0.0,0.0
2018-06-30,territory,yk,0.0,0.0
2018-06-23,territory,nu,0.0,0.0
2018-06-23,territory,nt,0.0,0.0
2018-06-23,territory,yk,0.0,0.0
2018-06-23,province,mb,0.0,0.76
2018-06-23,province,nb,1.02,5.1
2018-06-23,province,nl,5.41,0.0
2018-06-23,province,ns,0.0,0.0
2018-06-23,province,ab,0.0,0.29
2018-06-23,province,pe,0.0,0.0
2018-06-23,province,sk,1.22,0.0
2018-06-16,province,sk,0.0,0.0
2018-06-16,province,pe,0.0,0.0
2018-06-16,province,ab,0.0,0.77
2018-06-16,province,mb,0.0,0.85
2018-06-16,province,nb,2.27,3.79
2018-06-16,province,nl,4.65,0.0
2018-06-16,province,ns,6.25,3.12
2018-06-16,territory,yk,0.0,0.0
2018-06-16,territory,nu,0.0,0.0
2018-06-16,territory,nt,0.0,0.0
2018-06-09,province,ab,0.0,1.02
2018-06-09,territory,nt,0.0,0.0
2018-06-09,territory,nu,0.0,0.0
2018-06-09,territory,yk,0.0,0.0
2018-06-09,province,sk,1.04,0.0
2018-06-09,province,pe,0.0,0.0
2018-06-09,province,ns,9.09,2.44
2018-06-09,province,nl,7.84,0.0
2018-06-09,province,nb,3.17,1.59
2018-06-09,province,mb,1.95,0.64
2018-06-02,territory,nt,0.0,0.0
2018-06-02,territory,nu,0.0,0.0
2018-06-02,territory,yk,0.0,0.0
2018-06-02,province,ab,0.0,1.67
2018-06-02,province,sk,4.47,0.0
2018-06-02,province,nb,4.35,9.24
2018-06-02,province,nl,0.0,0.0
2018-06-02,province,ns,0.0,3.7
2018-06-02,province,mb,1.65,0.0
2018-06-02,province,pe,0.0,0.0
2018-05-26,province,nb,3.21,14.74
2018-05-26,province,mb,1.46,1.46
2018-05-26,province,nl,5.88,0.0
2018-05-26,province,sk,3.23,0.92
2018-05-26,province,pe,0.0,0.0
2018-05-26,province,ns,3.64,11.11
2018-05-26,territory,nt,0.0,0.0
2018-05-26,territory,nu,0.0,33.33
2018-05-26,territory,yk,0.0,0.0
2018-05-26,province,ab,0.0,3.09
2018-05-19,territory,yk,0.0,0.0
2018-05-19,territory,nt,0.0,0.0
2018-05-19,territory,nu,0.0,0.0
2018-05-19,province,ns,1.92,9.8
2018-05-19,province,nl,11.67,6.67
2018-05-19,province,nb,4.95,13.86
2018-05-19,province,mb,2.65,1.59
2018-05-19,province,sk,6.12,1.63
2018-05-19,province,ab,0.0,3.92
2018-05-19,province,pe,0.0,0.0
2018-05-12,territory,yk,14.29,0.0
2018-05-12,territory,nu,0.0,12.5
2018-05-12,territory,nt,0.0,0.0
2018-05-12,province,sk,8.16,4.76
2018-05-12,province,nl,8.45,12.68
2018-05-12,province,ab,0.0,3.87
2018-05-12,province,mb,3.35,1.68
2018-05-12,province,ns,2.35,12.0
2018-05-12,province,nb,6.17,20.16
2018-05-12,province,pe,3.7,3.7
2018-05-05,province,mb,5.66,3.14
2018-05-05,province,nb,6.19,19.05
2018-05-05,province,nl,3.45,24.14
2018-05-05,province,ns,2.38,23.46
2018-05-05,province,ab,0.0,6.92
2018-05-05,territory,nu,0.0,0.0
2018-05-05,territory,yk,0.0,20.0
2018-05-05,territory,nt,0.0,0.0
2018-05-05,province,pe,3.03,28.12
2018-05-05,province,sk,10.78,2.94
2018-04-28,province,pe,8.33,36.11
2018-04-28,province,ab,0.0,7.36
2018-04-28,territory,nt,0.0,0.0
2018-04-28,territory,nu,0.0,0.0
2018-04-28,territory,yk,0.0,0.0
2018-04-28,province,mb,5.06,9.09
2018-04-28,province,nb,9.34,28.99
2018-04-28,province,ns,11.22,19.39
2018-04-28,province,nl,9.48,23.28
2018-04-28,province,sk,13.52,6.76
2018-04-21,province,ns,8.73,13.6
2018-04-21,province,nl,11.9,30.16
2018-04-21,province,nb,5.78,36.68
2018-04-21,province,mb,3.79,8.53
2018-04-21,province,ab,0.0,8.54
2018-04-21,province,sk,15.26,7.52
2018-04-21,province,pe,5.56,17.65
2018-04-21,territory,nt,0.0,10.0
2018-04-21,territory,nu,0.0,0.0
2018-04-21,territory,yk,14.29,0.0
2018-04-14,province,ns,6.94,15.28
2018-04-14,province,nl,9.22,34.75
2018-04-14,territory,nu,0.0,0.0
2018-04-14,province,nb,9.7,25.89
2018-04-14,province,mb,8.54,11.11
2018-04-14,province,pe,3.23,22.58
2018-04-14,territory,nt,0.0,33.33
2018-04-14,territory,yk,23.08,23.08
2018-04-14,province,sk,13.49,12.3
2018-04-14,province,ab,0.0,9.97
2018-04-07,territory,yk,12.5,6.25
2018-04-07,territory,nt,0.0,21.43
2018-04-07,territory,nu,0.0,0.0
2018-04-07,province,mb,9.05,14.4
2018-04-07,province,nb,17.48,30.07
2018-04-07,province,nl,6.55,35.71
2018-04-07,province,ns,14.47,21.02
2018-04-07,province,sk,17.11,19.46
2018-04-07,province,ab,0.0,10.94
2018-04-07,province,pe,9.38,12.5
2018-03-31,province,ns,11.0,32.0
2018-03-31,province,mb,8.27,14.34
2018-03-31,province,nl,7.27,31.52
2018-03-31,province,nb,12.59,28.36
2018-03-31,province,ab,0.0,12.38
2018-03-31,province,sk,16.18,16.39
2018-03-31,territory,yk,0.0,0.0
2018-03-31,territory,nu,0.0,40.0
2018-03-31,territory,nt,0.0,40.0
2018-03-31,province,pe,14.52,33.87
2018-03-24,province,pe,11.9,24.39
2018-03-24,province,sk,0.0,0.0
2018-03-24,province,nl,6.67,28.15
2018-03-24,province,ns,17.26,26.19
2018-03-24,province,nb,8.48,23.03
2018-03-24,province,ab,0.0,14.05
2018-03-24,province,mb,11.9,20.22
2018-03-24,territory,nt,0.0,11.11
2018-03-24,territory,nu,0.0,33.33
2018-03-24,territory,yk,7.14,35.71
2018-03-17,territory,nt,0.0,23.08
2018-03-17,territory,nu,20.0,0.0
2018-03-17,territory,yk,16.67,16.67
2018-03-17,province,sk,11.76,20.5
2018-03-17,province,mb,14.11,20.74
2018-03-17,province,nb,20.43,38.52
2018-03-17,province,nl,6.44,24.03
2018-03-17,province,ns,14.17,27.85
2018-03-17,province,pe,16.22,32.43
2018-03-17,province,ab,0.0,14.71
2018-03-10,province,pe,20.31,26.98
2018-03-10,territory,yk,25.0,16.67
2018-03-10,territory,nu,0.0,0.0
2018-03-10,territory,nt,0.0,25.0
2018-03-10,province,sk,9.98,22.19
2018-03-10,province,ab,0.0,16.82
2018-03-10,province,nb,10.56,34.61
2018-03-10,province,mb,12.5,17.28
2018-03-10,province,nl,6.37,25.1
2018-03-10,province,ns,17.48,28.92
2018-03-03,province,mb,9.79,22.96
2018-03-03,province,ns,23.64,26.94
2018-03-03,province,nl,5.14,37.94
2018-03-03,province,nb,8.75,31.67
2018-03-03,territory,nu,0.0,66.67
2018-03-03,province,sk,10.19,23.93
2018-03-03,province,ab,0.0,18.08
2018-03-03,territory,nt,0.0,16.67
2018-03-03,territory,yk,38.89,16.67
2018-03-03,province,pe,19.61,34.69
2018-02-24,province,pe,32.14,18.87
2018-02-24,province,ns,20.6,19.1
2018-02-24,province,nl,6.41,35.9
2018-02-24,province,mb,11.42,21.43
2018-02-24,province,nb,9.9,36.57
2018-02-24,province,sk,10.14,28.38
2018-02-24,territory,yk,10.53,15.79
2018-02-24,territory,nu,0.0,55.56
2018-02-24,territory,nt,0.0,15.0
2018-02-24,province,ab,0.0,17.93
2018-02-17,province,ab,0.0,20.37
2018-02-17,territory,nt,0.0,17.39
2018-02-17,province,sk,10.91,24.34
2018-02-17,province,pe,30.67,21.62
2018-02-17,province,ns,22.81,20.61
2018-02-17,territory,nu,8.33,25.0
2018-02-17,territory,yk,22.22,33.33
2018-02-17,province,mb,9.23,15.84
2018-02-17,province,nb,6.85,32.75
2018-02-17,province,nl,6.61,36.56
2018-02-10,territory,nt,0.0,20.69
2018-02-10,territory,yk,10.0,60.0
2018-02-10,territory,nu,0.0,25.0
2018-02-10,province,ab,0.0,19.38
2018-02-10,province,ns,16.27,26.59
2018-02-10,province,sk,6.29,30.12
