time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests
2023-05-06,province,nl,459.0,60,277.0,0,0,277.0,20,277.0,277.0,8,277.0,0,277.0,33,277.0,9,24,0
2023-05-06,province,nb,712.0,85,680.0,1,3,676.0,3,77.0,77.0,14,77.0,4,77.0,27,77.0,4,4,4
2023-05-06,province,mb,1350.0,175,1115.0,4,6,1115.0,10,104.0,104.0,4,133.0,4,104.0,30,133.0,3,11,10
2023-05-06,province,ab,3720.0,340,2367.0,27,52,2243.0,5,826.0,826.0,25,826.0,8,815.0,100,826.0,22,34,79
2023-05-06,province,pe,147.0,19,62.0,0,0,62.0,2,8.0,8.0,1,8.0,0,8.0,3,8.0,0,0,0
2023-05-06,territory,nt,19.0,2,16.0,0,0,16.0,2,,,0,,0,16.0,1,,0,0,0
2023-05-06,province,sk,1664.0,142,652.0,14,8,600.0,4,259.0,260.0,7,261.0,8,261.0,38,260.0,7,36,22
2023-04-29,province,sk,1839.0,162,649.0,9,6,553.0,5,247.0,246.0,6,246.0,6,246.0,33,247.0,14,26,15
2023-04-29,territory,nt,18.0,0,15.0,0,0,15.0,0,,,0,,0,15.0,3,,0,0,0
2023-04-29,territory,nu,112.0,2,86.0,1,12,86.0,5,,,0,,0,,0,,0,0,13
2023-04-29,territory,yk,42.0,3,19.0,0,0,19.0,1,,,0,,0,,0,,0,0,0
2023-04-29,province,ab,3917.0,361,2550.0,15,58,2418.0,6,907.0,906.0,11,906.0,16,890.0,103,907.0,33,30,73
2023-04-29,province,mb,1325.0,138,1092.0,2,12,1092.0,15,92.0,92.0,1,115.0,5,92.0,26,115.0,4,5,14
2023-04-29,province,pe,172.0,25,57.0,0,0,57.0,1,4.0,4.0,0,4.0,0,4.0,0,4.0,1,0,0
2023-04-29,province,ns,1342.0,210,735.0,4,0,735.0,8,33.0,33.0,1,33.0,5,33.0,11,33.0,1,0,4
2023-04-29,province,nl,482.0,46,324.0,0,1,324.0,24,324.0,324.0,7,324.0,10,324.0,37,324.0,28,30,1
2023-04-29,province,nb,704.0,84,655.0,1,2,639.0,3,82.0,82.0,6,82.0,2,82.0,19,82.0,5,6,3
2023-04-22,territory,nu,163.0,3,143.0,0,39,143.0,10,,,0,,0,,0,,0,0,39
2023-04-22,province,sk,1826.0,191,693.0,3,9,653.0,8,293.0,293.0,11,293.0,5,293.0,41,293.0,16,48270,39
2023-04-22,territory,nt,20.0,2,20.0,0,1,20.0,3,,,0,,0,20.0,3,,0,0,1
2023-04-22,province,pe,450.0,40,88.0,0,0,88.0,2,7.0,7.0,1,7.0,1,7.0,0,7.0,0,11000,0
2023-04-22,territory,yk,28.0,4,16.0,0,1,16.0,1,,,0,,0,,0,,0,0,1
2023-04-22,province,mb,1373.0,188,1098.0,6,5,1098.0,10,93.0,93.0,1,119.0,4,93.0,11,119.0,3,47400,65
2023-04-22,province,nb,807.0,101,702.0,2,1,716.0,9,77.0,77.0,4,77.0,13,77.0,10,77.0,8,50210,21
2023-04-22,province,ns,1616.0,251,800.0,18,1,800.0,16,28.0,28.0,0,28.0,2,28.0,3,28.0,1,10,181
2023-04-22,province,ab,3839.0,407,1635.0,5,21,1468.0,12,952.0,952.0,15,952.0,21,942.0,105,952.0,31,1359190,521
2023-04-22,province,nl,539.0,60,338.0,1,0,338.0,23,338.0,338.0,4,338.0,6,338.0,29,338.0,9,201360,10
2023-04-15,province,ab,3751.0,320,2679.0,10,47,2514.0,17,1011.0,1011.0,26,1010.0,24,996.0,105,1011.0,34,51,57
2023-04-15,province,pe,548.0,69,122.0,1,0,122.0,8,10.0,10.0,2,10.0,0,10.0,4,10.0,0,4,1
2023-04-15,province,mb,1499.0,224,1157.0,6,4,1157.0,10,104.0,104.0,4,121.0,4,104.0,17,121.0,7,11,10
2023-04-15,province,nb,882.0,105,784.0,2,3,773.0,3,73.0,73.0,5,73.0,4,73.0,12,73.0,5,8,5
2023-04-15,province,nl,582.0,76,380.0,0,0,380.0,30,380.0,380.0,4,380.0,12,380.0,37,380.0,9,31,0
2023-04-15,province,ns,1759.0,332,889.0,1,2,889.0,7,19.0,19.0,0,19.0,0,19.0,0,19.0,3,1,3
2023-04-15,territory,nt,13.0,1,13.0,0,2,13.0,0,,,0,,0,13.0,1,,0,0,2
2023-04-15,province,sk,1994.0,208,748.0,2,8,667.0,10,264.0,264.0,10,264.0,4,264.0,37,264.0,10,23,10
2023-04-15,territory,nu,111.0,0,76.0,0,23,76.0,5,,,0,,0,,0,,0,0,23
2023-04-15,territory,yk,,0,,0,0,,0,,,0,,0,,0,,0,0,0
2023-04-08,province,sk,2072.0,170,754.0,3,4,698.0,11,318.0,318.0,10,318.0,8,318.0,68,318.0,14,15,7
2023-04-08,territory,nt,,0,,0,0,,0,,,0,,0,0.0,0,,0,0,0
2023-04-08,territory,nu,115.0,1,81.0,0,13,81.0,13,,,0,,0,,0,,0,0,13
2023-04-08,province,ab,4030.0,362,2794.0,7,62,2630.0,11,1061.0,1060.0,21,1061.0,26,1041.0,73,1061.0,43,46,69
2023-04-08,province,mb,1497.0,216,1270.0,1,4,1270.0,21,87.0,87.0,1,113.0,4,87.0,13,113.0,3,9,5
2023-04-08,province,nb,887.0,102,770.0,1,2,759.0,4,59.0,59.0,4,59.0,4,59.0,14,59.0,8,1,3
2023-04-08,province,nl,475.0,77,306.0,0,1,306.0,19,306.0,306.0,2,306.0,8,306.0,26,306.0,5,35,1
2023-04-08,province,ns,1634.0,265,907.0,1,0,907.0,12,17.0,17.0,2,17.0,0,17.0,3,17.0,0,1,1
2023-04-08,province,pe,599.0,108,116.0,0,1,116.0,5,17.0,17.0,1,17.0,0,17.0,1,17.0,2,0,1
2023-04-08,territory,yk,54.0,7,26.0,0,0,26.0,2,,,0,,0,,0,,0,0,0
2023-04-01,province,pe,679.0,143,140.0,1,0,140.0,8,12.0,12.0,1,12.0,1,12.0,3,12.0,1,0,1
2023-04-01,province,sk,2323.0,243,692.0,0,5,636.0,12,264.0,264.0,7,264.0,6,264.0,35,264.0,16,15,5
2023-04-01,territory,nt,17.0,0,17.0,0,0,17.0,0,,,0,,0,17.0,3,,0,0,0
2023-04-01,territory,nu,107.0,9,76.0,0,10,76.0,7,,,0,,0,,0,,0,0,10
2023-04-01,province,mb,,0,,0,0,,0,,,0,,0,,0,,0,0,0
2023-04-01,province,ns,1953.0,325,963.0,0,1,963.0,14,26.0,26.0,1,26.0,2,26.0,2,26.0,3,0,1
2023-04-01,province,nl,571.0,86,348.0,1,0,348.0,21,348.0,348.0,6,348.0,6,348.0,34,348.0,12,34,1
2023-04-01,province,nb,1138.0,161,984.0,9,4,918.0,14,81.0,81.0,5,81.0,5,81.0,16,81.0,4,3,13
2023-04-01,province,ab,4409.0,396,2712.0,10,44,2514.0,29,1020.0,1020.0,13,1019.0,37,1012.0,89,1020.0,32,42,54
2023-04-01,territory,yk,53.0,3,26.0,0,1,26.0,1,,,0,,0,,0,,0,0,1
2023-03-25,province,sk,2253.0,226,773.0,2,1,734.0,25,306.0,307.0,14,307.0,4,307.0,56,306.0,16,14,3
2023-03-25,province,ab,4989.0,435,2882.0,11,47,2655.0,29,1110.0,1109.0,19,1109.0,50,1100.0,122,1110.0,26,49,58
2023-03-25,province,pe,643.0,129,136.0,0,0,136.0,10,12.0,12.0,1,12.0,3,12.0,3,12.0,0,1,0
2023-03-25,territory,nu,,0,,0,0,,0,,,0,,0,,0,,0,0,0
2023-03-25,territory,yk,53.0,5,34.0,0,2,34.0,5,,,0,,0,,0,,0,0,2
2023-03-25,province,ns,2168.0,346,1043.0,0,1,1043.0,15,25.0,25.0,0,25.0,1,25.0,1,25.0,1,0,1
2023-03-25,province,nl,459.0,50,336.0,1,2,336.0,22,336.0,336.0,7,336.0,10,336.0,36,336.0,7,42,3
2023-03-25,province,nb,1337.0,222,1150.0,10,2,1083.0,12,83.0,83.0,3,83.0,9,83.0,15,83.0,5,2,12
2023-03-25,province,mb,1504.0,220,1183.0,2,0,1183.0,13,118.0,118.0,2,142.0,4,118.0,21,142.0,4,8,2
2023-03-25,territory,nt,24.0,2,21.0,0,0,21.0,0,,,0,,0,21.0,5,,0,0,0
2023-03-18,province,ab,4421.0,388,2898.0,12,58,2683.0,37,1097.0,1097.0,14,1097.0,44,1067.0,105,1097.0,20,60,70
2023-03-18,province,mb,1715.0,262,1345.0,1,0,1345.0,25,133.0,133.0,1,156.0,6,133.0,16,156.0,10,3,1
2023-03-18,territory,yk,75.0,8,15.0,0,1,15.0,5,,,0,,0,,0,,0,0,1
2023-03-18,territory,nu,104.0,13,68.0,0,2,68.0,7,,,0,,0,,0,,0,0,2
2023-03-18,territory,nt,27.0,0,24.0,0,0,24.0,6,,,0,,0,24.0,6,,0,0,0
2023-03-18,province,sk,2226.0,195,758.0,3,2,683.0,25,226.0,225.0,10,225.0,13,225.0,29,226.0,8,11,5
2023-03-18,province,pe,595.0,103,141.0,1,0,141.0,8,8.0,8.0,0,8.0,4,8.0,0,8.0,0,0,1
2023-03-18,province,ns,2145.0,336,1113.0,2,1,1113.0,11,33.0,33.0,2,33.0,10,33.0,6,33.0,5,0,3
2023-03-18,province,nl,491.0,68,325.0,0,2,325.0,31,325.0,325.0,7,325.0,2,325.0,24,325.0,10,42,2
2023-03-18,province,nb,1523.0,319,1245.0,7,1,1148.0,20,62.0,62.0,4,62.0,15,62.0,6,62.0,5,3,8
2023-03-11,province,ns,2091.0,327,1121.0,0,1,1121.0,31,28.0,28.0,0,28.0,5,28.0,4,28.0,3,1,1
2023-03-11,province,pe,462.0,63,36.0,0,0,36.0,1,8.0,8.0,2,8.0,1,8.0,1,8.0,0,1,0
2023-03-11,province,nl,555.0,90,356.0,0,0,356.0,20,356.0,356.0,5,356.0,9,356.0,24,356.0,14,38,0
2023-03-11,province,ab,4408.0,406,2614.0,12,25,2437.0,53,1007.0,1007.0,26,1005.0,38,989.0,103,1007.0,17,34,37
2023-03-11,province,nb,1715.0,401,1358.0,9,0,1252.0,30,79.0,79.0,5,79.0,12,79.0,14,79.0,8,5,9
2023-03-11,province,mb,1637.0,217,1315.0,5,0,1315.0,40,123.0,123.0,2,198.0,4,123.0,18,198.0,6,5,5
2023-03-11,territory,nu,94.0,8,48.0,0,0,48.0,6,,,0,,0,,0,,0,0,0
