epiweek,time_value,issue,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests,flu_positive_tests
202422,2024-06-01,2024-06-07,lab,yt,42,1,24,0,0,0,1,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202422,2024-06-01,2024-06-07,lab,nt,21,1,21,0,0,0,0,0,21,0,NA,NA,NA,NA,NA,NA,21,0,21,0,22,5,NA,NA,NA
202422,2024-06-01,2024-06-07,lab,nu,155,7,144,0,0,0,0,1,144,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202422,2024-06-01,2024-06-07,region,territories,218,9,189,0,0,0,1,1,189,2,NA,NA,NA,NA,NA,NA,21,0,21,0,22,5,NA,NA,NA
202422,2024-06-01,2024-06-07,nation,ca,22850,1934,20047,27,28,34,110,181,18457,117,7655,11,10,315,5,142,7687,86,7616,193,6249,685,6266,116,NA
202421,2024-05-25,2024-05-30,lab,nl,798,76,674,0,0,3,3,1,674,11,674,2,6,54,2,0,674,11,674,23,674,122,674,14,NA
202421,2024-05-25,2024-05-30,lab,pe,121,13,88,0,0,0,0,0,88,0,11,0,0,4,0,0,11,2,11,0,11,5,11,0,NA
202421,2024-05-25,2024-05-30,lab,ns,1103,91,1045,0,0,5,5,20,888,5,33,0,0,2,0,0,33,1,33,0,33,3,33,1,NA
202421,2024-05-25,2024-05-30,lab,nb,709,31,741,1,1,0,2,15,741,4,94,1,0,7,0,0,94,4,94,1,94,32,94,3,NA
202421,2024-05-25,2024-05-30,region,atlantic,2731,211,2548,1,1,8,10,36,2391,20,812,3,6,67,2,0,812,18,812,24,812,162,812,18,NA
202421,2024-05-25,2024-05-30,lab,région nord est,1035,62,1022,0,0,3,3,44,527,11,103,0,0,16,0,0,103,4,102,4,NA,NA,103,2,NA
202421,2024-05-25,2024-05-30,lab,québec chaudière appalaches,1299,108,1374,0,0,5,5,18,1328,32,618,0,0,15,0,0,630,21,618,21,NA,NA,504,9,NA
202421,2024-05-25,2024-05-30,lab,centre du québec,1410,88,1312,0,0,4,4,23,699,18,29,0,0,3,0,0,28,0,29,0,NA,NA,29,0,NA
202421,2024-05-25,2024-05-30,lab,montréal laval,1239,72,1402,0,0,10,10,19,1079,15,780,0,0,38,2,0,780,11,781,19,NA,NA,780,17,NA
202421,2024-05-25,2024-05-30,lab,ouest du québec,678,29,474,0,0,0,0,6,471,5,22,0,1,3,0,0,22,1,22,1,NA,NA,22,0,NA
202421,2024-05-25,2024-05-30,lab,montérégie,881,49,1093,0,0,2,2,14,1093,21,7,0,0,2,0,0,7,0,7,0,NA,NA,7,0,NA
202421,2024-05-25,2024-05-30,region,qc,6542,408,6677,0,0,24,24,124,5197,102,1559,0,1,77,2,0,1570,37,1559,45,NA,NA,1445,28,NA
202421,2024-05-25,2024-05-30,lab,phol ottawa,121,47,92,0,0,0,0,0,92,0,81,0,0,0,0,6,81,0,81,2,81,5,81,1,NA
202421,2024-05-25,2024-05-30,lab,eorla,537,35,302,0,0,1,1,1,302,1,41,0,0,1,0,0,41,0,41,0,41,7,41,2,NA
202421,2024-05-25,2024-05-30,lab,phol kingston,139,31,89,0,0,0,0,0,89,0,59,0,0,0,0,5,59,0,59,9,59,6,59,2,NA
202421,2024-05-25,2024-05-30,lab,uhn mount sinai hospital,813,43,500,0,0,0,0,2,500,0,111,0,0,2,0,0,111,0,111,1,111,5,111,5,NA
202421,2024-05-25,2024-05-30,lab,phol toronto,244,58,809,0,4,0,4,2,807,0,760,0,0,0,0,99,760,9,760,32,760,83,760,31,NA
202421,2024-05-25,2024-05-30,lab,sick kids hospital toronto,96,4,95,0,0,0,0,2,95,0,95,0,0,4,1,0,95,3,95,0,95,26,95,6,NA
202421,2024-05-25,2024-05-30,lab,shared hospital laboratory,1185,72,932,0,0,1,1,2,932,1,925,0,0,0,0,10,925,9,927,7,927,39,927,3,NA
202421,2024-05-25,2024-05-30,lab,phol sault ste marie,4,0,6,0,0,0,0,0,6,0,5,0,0,0,0,0,5,0,5,0,5,0,5,0,NA
202421,2024-05-25,2024-05-30,lab,phol timmins,39,1,42,0,0,0,0,0,42,0,32,0,0,0,0,9,32,0,32,2,32,4,32,1,NA
202421,2024-05-25,2024-05-30,lab,st josephs london,420,22,177,0,0,0,0,0,177,0,52,0,0,0,0,7,52,0,52,0,52,11,52,2,NA
202421,2024-05-25,2024-05-30,lab,phol london,207,35,195,0,1,1,2,0,194,0,164,0,0,0,0,24,164,2,164,13,164,16,164,1,NA
202421,2024-05-25,2024-05-30,lab,phol orillia,19,9,10,0,0,0,0,0,10,0,10,0,0,0,0,0,10,0,10,0,10,0,10,0,NA
202421,2024-05-25,2024-05-30,lab,phol thunder bay,32,9,21,0,1,0,1,0,21,0,17,0,0,0,0,1,17,0,17,0,17,2,17,0,NA
202421,2024-05-25,2024-05-30,lab,phol sudbury,6,0,11,0,0,0,0,0,11,0,11,0,0,0,0,4,11,0,11,0,11,0,11,0,NA
202421,2024-05-25,2024-05-30,lab,phol hamilton,13,1,35,2,0,0,2,0,34,0,34,0,0,0,0,2,34,3,34,2,34,6,34,0,NA
202421,2024-05-25,2024-05-30,lab,phol peterborough,44,1,69,0,0,0,0,0,69,1,43,0,0,0,0,8,43,2,43,2,43,7,43,0,NA
202421,2024-05-25,2024-05-30,lab,st josephs hamilton,1427,57,1297,0,0,9,9,7,1297,2,1297,0,0,54,0,0,1297,8,1297,25,1297,90,0,0,NA
202421,2024-05-25,2024-05-30,lab,sault area hospital,86,7,74,0,0,0,0,0,74,0,62,0,0,6,0,0,62,1,62,3,62,3,62,1,NA
202421,2024-05-25,2024-05-30,region,on,5432,432,4756,2,6,12,20,16,4752,5,3799,0,0,67,1,175,3799,37,3801,98,3801,310,2504,55,NA
202421,2024-05-25,2024-05-30,lab,mb,1015,50,837,0,0,2,2,8,837,3,86,0,0,14,0,0,86,2,95,1,86,21,95,2,NA
202421,2024-05-25,2024-05-30,lab,sk,1118,65,778,0,0,0,0,18,658,9,275,0,0,22,2,0,275,2,275,1,275,42,275,10,NA
