time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2019-05-04,nation,ca,5640.0,454,148,5294.0,147,2804.0,2798.0,38,2666.0,98,1703.0,211,1957.0,62,236,602,3.17,3.68,2.78,8.42,10.67,1.36,12.39,8.05,2.62
2019-05-04,province,bc,392.0,43,7,392.0,16,266.0,266.0,5,266.0,0,225.0,35,225.0,6,19,50,2.67,0.0,4.08,7.14,12.76,1.88,15.56,10.97,1.79
2019-05-04,province,on,1285.0,79,15,1273.0,15,713.0,706.0,5,692.0,17,220.0,23,159.0,3,37,94,1.89,2.46,1.18,5.19,7.32,0.71,10.45,6.15,1.17
2019-05-04,province,qc,2149.0,152,65,1971.0,62,567.0,568.0,11,545.0,26,,0,543.0,4,51,217,0.74,4.77,3.15,8.99,10.09,1.94,,7.07,3.02
2019-05-11,nation,ca,5480.0,453,151,5140.0,118,2727.0,2705.0,45,2647.0,93,1624.0,255,2016.0,62,248,604,3.08,3.51,2.3,9.09,11.03,1.66,15.7,8.27,2.76
2019-05-11,province,bc,383.0,41,6,383.0,17,259.0,259.0,2,259.0,1,224.0,54,224.0,10,22,47,4.46,0.39,4.44,8.49,12.27,0.77,24.11,10.7,1.57
2019-05-11,province,on,1155.0,71,8,1144.0,17,719.0,699.0,3,701.0,23,204.0,17,174.0,4,53,79,2.3,3.28,1.49,7.37,6.84,0.43,8.33,6.15,0.69
2019-05-11,province,qc,2161.0,171,79,1980.0,50,553.0,551.0,13,533.0,7,,0,531.0,5,51,250,0.94,1.31,2.53,9.22,11.57,2.36,,7.91,3.66
2019-05-18,nation,ca,5097.0,326,138,4917.0,79,2768.0,2754.0,55,2701.0,124,1650.0,276,2024.0,57,238,464,2.8,4.6,1.6,8.6,9.1,2.0,16.7,6.4,2.7
2019-05-18,province,bc,393.0,27,2,393.0,7,240.0,240.0,2,240.0,2,203.0,42,203.0,8,23,29,3.9,0.8,1.8,9.6,7.4,0.8,20.7,6.9,0.5
