epiweek,time_value,issue,geo_type,geo_value,weekorder,sarscov2_tests,sarscov2_positive_tests,flu_tests,flu_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
202443,2024-10-26,2024-11-07,lab,st joseph's - hamilton,9,1785.0,155.0,1696.0,8.0,7.0,1.0,1696.0,25.0,1696.0,1696.0,9.0,1696.0,2.0,1696.0,163.0,0.0,0.0,2.0,0.0,0.1179245283018868,8.683473389355742,1.474056603773585,0.1179245283018868,0.4716981132075472,0.5306603773584906,9.610849056603774,0.4127358490566037,0.0589622641509434
202443,2024-10-26,2024-11-07,lab,phol - london,9,528.0,170.0,417.0,0.0,0.0,0.0,417.0,0.0,361.0,361.0,0.0,361.0,0.0,361.0,30.0,361.0,0.0,5.0,0.0,0.0,32.196969696969695,0.0,1.3850415512465373,0.0,0.0,8.310249307479225,0.0,0.0
202443,2024-10-26,2024-11-07,lab,st joseph's - london,9,565.0,106.0,254.0,1.0,1.0,0.0,254.0,3.0,56.0,56.0,0.0,56.0,0.0,56.0,7.0,56.0,0.0,0.0,0.0,0.0,18.76106194690265,1.1811023622047243,0.0,0.3937007874015747,0.0,12.5,0.3937007874015747,0.0
202443,2024-10-26,2024-11-07,lab,phol - orillia,9,20.0,14.0,17.0,0.0,0.0,0.0,16.0,0.0,13.0,13.0,0.0,13.0,0.0,13.0,2.0,13.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,15.384615384615383,0.0,0.0
202443,2024-10-26,2024-11-07,lab,phol - sudbury,9,27.0,12.0,26.0,1.0,0.0,1.0,26.0,0.0,21.0,21.0,0.0,21.0,0.0,21.0,1.0,21.0,0.0,0.0,0.0,0.0,44.44444444444444,0.0,0.0,3.8461538461538463,0.0,4.761904761904762,0.0,3.8461538461538463
202443,2024-10-26,2024-11-07,lab,phol - timmins,9,61.0,28.0,66.0,0.0,0.0,0.0,66.0,0.0,44.0,44.0,0.0,44.0,0.0,44.0,10.0,44.0,0.0,0.0,0.0,0.0,45.90163934426229,0.0,0.0,0.0,0.0,22.727272727272727,0.0,0.0
202443,2024-10-26,2024-11-07,lab,phol - sault ste marie,9,17.0,9.0,18.0,0.0,0.0,0.0,18.0,0.0,13.0,13.0,0.0,13.0,0.0,13.0,4.0,13.0,0.0,0.0,0.0,0.0,52.94117647058824,0.0,0.0,0.0,0.0,30.76923076923077,0.0,0.0
202443,2024-10-26,2024-11-07,lab,sault area hospital,9,101.0,10.0,88.0,0.0,0.0,0.0,88.0,0.0,81.0,81.0,0.0,81.0,0.0,81.0,14.0,81.0,0.0,1.0,0.0,0.0,9.9009900990099,0.0,1.2345679012345678,0.0,0.0,17.28395061728395,0.0,0.0
202443,2024-10-26,2024-11-07,lab,phol - thunder bay,9,53.0,7.0,54.0,0.0,0.0,0.0,54.0,0.0,49.0,49.0,0.0,49.0,0.0,49.0,18.0,49.0,0.0,0.0,0.0,0.0,13.20754716981132,0.0,0.0,0.0,0.0,36.734693877551024,0.0,0.0
202443,2024-10-26,2024-11-07,region,on,9,8918.0,1620.0,7713.0,32.0,29.0,3.0,7712.0,90.0,5654.0,5654.0,33.0,5654.0,8.0,5654.0,701.0,3958.0,8.0,104.0,0.202122283981809,0.1414927484966395,18.16550796142633,1.1670124481327802,1.839405730456314,0.4148839621418384,0.5836575875486382,12.39830208701804,0.3759885906910411,0.0388953714507973
