time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2021-02-06,province,sk,0.0,0.0
2021-02-06,province,mb,0.199,0.0
2021-02-06,territory,yk,,
2021-02-06,province,nb,0.0,0.0
2021-02-06,province,nl,0.0,0.0
2021-02-06,province,ns,0.0,0.0
2021-02-06,territory,nu,0.0,0.0
2021-02-06,territory,nt,0.0,0.0
2021-02-06,province,pe,0.0,0.0
2021-02-06,province,ab,0.0,0.0
2021-01-30,province,ns,0.0,0.0
2021-01-30,territory,nu,0.0,0.0
2021-01-30,territory,nt,0.0,0.0
2021-01-30,province,pe,0.0,0.0
2021-01-30,province,sk,1.087,0.0
2021-01-30,province,nl,0.0,0.0
2021-01-30,province,nb,0.0,0.0
2021-01-30,province,mb,,
2021-01-30,province,ab,0.0,0.0
2021-01-30,territory,yk,,
2021-01-23,province,sk,0.0,0.0
2021-01-23,territory,nt,0.0,0.0
2021-01-23,province,mb,,
2021-01-23,territory,nu,0.0,0.0
2021-01-23,territory,yk,,
2021-01-23,province,ns,0.0,0.0
2021-01-23,province,nl,,
2021-01-23,province,nb,0.0,0.0
2021-01-23,province,pe,0.529,0.0
2021-01-23,province,ab,0.0,0.0
2021-01-16,province,sk,0.0,0.0
2021-01-16,territory,nu,0.0,0.0
2021-01-16,province,pe,0.0,0.0
2021-01-16,territory,nt,0.0,0.0
2021-01-16,territory,yk,0.0,0.0
2021-01-16,province,ab,0.0,0.065
2021-01-16,province,nl,0.481,0.0
2021-01-16,province,nb,0.0,0.0
2021-01-16,province,mb,0.231,0.0
2021-01-16,province,ns,0.0,0.0
2021-01-09,province,sk,0.0,0.0
2021-01-09,province,ab,0.0,0.0
2021-01-09,province,mb,0.336,0.0
2021-01-09,province,nl,0.0,0.0
2021-01-09,province,nb,0.0,0.0
2021-01-09,province,ns,0.0,0.0
2021-01-09,province,pe,0.0,0.0
2021-01-09,territory,nt,0.0,0.0
2021-01-09,territory,nu,0.0,0.0
2021-01-09,territory,yk,0.0,0.0
2020-12-26,province,mb,0.0,0.0
2020-12-26,province,nb,0.0,0.0
2020-12-26,province,nl,0.0,0.0
2020-12-26,province,pe,0.0,0.0
2020-12-26,province,ns,0.0,0.0
2020-12-26,province,ab,0.0,0.0
2021-01-02,province,pe,0.0,0.0
2021-01-02,province,sk,0.0,0.0
2021-01-02,territory,nt,0.0,0.0
2021-01-02,territory,nu,0.0,0.0
2021-01-02,territory,yk,0.0,0.0
2021-01-02,province,ns,0.0,0.0
2020-12-26,province,sk,0.0,0.0
2020-12-26,territory,nt,0.0,0.0
2020-12-26,territory,nu,0.0,0.0
2020-12-26,territory,yk,0.0,0.0
2021-01-02,province,ab,0.0,0.037
2021-01-02,province,mb,0.069,0.0
2021-01-02,province,nb,0.0,0.0
