reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2025-01-25,2025-01-25,0,ca,pct wk flu lab det,quantile,0.25,13.029999999999998
2025-01-25,2025-01-25,0,ca,pct wk flu lab det,quantile,0.5,16.2075
2025-01-25,2025-01-25,0,ca,pct wk flu lab det,quantile,0.75,22.0125
2025-01-25,2025-01-25,0,ca,pct wk flu lab det,quantile,0.9,26.090999999999998
2025-01-25,2025-01-25,0,ca,pct wk flu lab det,quantile,0.975,32.93924999999997
2025-01-25,2025-01-25,0,atlantic,pct wk flu lab det,quantile,0.025,0.6325000000000003
2025-01-25,2025-01-25,0,atlantic,pct wk flu lab det,quantile,0.1,3.1700000000000017
2025-01-25,2025-01-25,0,atlantic,pct wk flu lab det,quantile,0.25,8.955000000000002
2025-01-25,2025-01-25,0,atlantic,pct wk flu lab det,quantile,0.5,15.390000000000002
2025-01-25,2025-01-25,0,atlantic,pct wk flu lab det,quantile,0.75,21.195
2025-01-25,2025-01-25,0,atlantic,pct wk flu lab det,quantile,0.9,25.273499999999995
2025-01-25,2025-01-25,0,atlantic,pct wk flu lab det,quantile,0.975,32.12174999999998
2025-01-25,2025-01-25,0,qc,pct wk flu lab det,quantile,0.025,0.09249999999999758
2025-01-25,2025-01-25,0,qc,pct wk flu lab det,quantile,0.1,2.629999999999999
2025-01-25,2025-01-25,0,qc,pct wk flu lab det,quantile,0.25,11.399999999999999
2025-01-25,2025-01-25,0,qc,pct wk flu lab det,quantile,0.5,15.4
2025-01-25,2025-01-25,0,qc,pct wk flu lab det,quantile,0.75,20.79
2025-01-25,2025-01-25,0,qc,pct wk flu lab det,quantile,0.9,24.868499999999997
2025-01-25,2025-01-25,0,qc,pct wk flu lab det,quantile,0.975,31.716749999999976
2025-01-25,2025-01-25,0,on,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-01-25,0,on,pct wk flu lab det,quantile,0.1,1.6499999999999986
2025-01-25,2025-01-25,0,on,pct wk flu lab det,quantile,0.25,10.419999999999998
2025-01-25,2025-01-25,0,on,pct wk flu lab det,quantile,0.5,14.25
2025-01-25,2025-01-25,0,on,pct wk flu lab det,quantile,0.75,20.055
2025-01-25,2025-01-25,0,on,pct wk flu lab det,quantile,0.9,24.133499999999998
2025-01-25,2025-01-25,0,on,pct wk flu lab det,quantile,0.975,30.981749999999977
2025-01-25,2025-01-25,0,prairies,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-01-25,0,prairies,pct wk flu lab det,quantile,0.1,0
2025-01-25,2025-01-25,0,prairies,pct wk flu lab det,quantile,0.25,7.889999999999997
2025-01-25,2025-01-25,0,prairies,pct wk flu lab det,quantile,0.5,13
2025-01-25,2025-01-25,0,prairies,pct wk flu lab det,quantile,0.75,18.1575
2025-01-25,2025-01-25,0,prairies,pct wk flu lab det,quantile,0.9,22.235999999999994
2025-01-25,2025-01-25,0,prairies,pct wk flu lab det,quantile,0.975,29.084249999999976
2025-01-25,2025-01-25,0,bc,pct wk flu lab det,quantile,0.025,5.112499999999997
2025-01-25,2025-01-25,0,bc,pct wk flu lab det,quantile,0.1,7.649999999999999
2025-01-25,2025-01-25,0,bc,pct wk flu lab det,quantile,0.25,15.3
2025-01-25,2025-01-25,0,bc,pct wk flu lab det,quantile,0.5,18.75
2025-01-25,2025-01-25,0,bc,pct wk flu lab det,quantile,0.75,24.554999999999996
2025-01-25,2025-01-25,0,bc,pct wk flu lab det,quantile,0.9,28.633499999999998
2025-01-25,2025-01-25,0,bc,pct wk flu lab det,quantile,0.975,35.48174999999998
2025-01-25,2025-01-25,0,territories,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-01-25,0,territories,pct wk flu lab det,quantile,0.1,0.04999999999999716
2025-01-25,2025-01-25,0,territories,pct wk flu lab det,quantile,0.25,8.819999999999997
2025-01-25,2025-01-25,0,territories,pct wk flu lab det,quantile,0.5,16.4
2025-01-25,2025-01-25,0,territories,pct wk flu lab det,quantile,0.75,18.854999999999997
2025-01-25,2025-01-25,0,territories,pct wk flu lab det,quantile,0.9,22.933499999999995
2025-01-25,2025-01-25,0,territories,pct wk flu lab det,quantile,0.975,29.78174999999997
2025-01-25,2025-02-01,1,ca,pct wk flu lab det,quantile,0.025,1.278500000000001
2025-01-25,2025-02-01,1,ca,pct wk flu lab det,quantile,0.1,3.064
2025-01-25,2025-02-01,1,ca,pct wk flu lab det,quantile,0.25,12.35
2025-01-25,2025-02-01,1,ca,pct wk flu lab det,quantile,0.5,18.45
